venue_id,team,overall,R,L
19,Rockies,113,113,113
3,Red Sox,105,105,105
15,D-backs,103,103,103
14,Twins,103,103,103
21,Reds,103,103,103
1,Angels,101,101,101
10,Tigers,101,101,101
22,Phillies,101,101,101
20,Nationals,101,101,101
12,Dodgers,101,101,101
7,Royals,101,101,101
28,Marlins,101,101,101
30,Braves,101,101,101
2,Orioles,100,100,100
18,Astros,100,100,100
14,Yankees,100,100,100
24,Cardinals,100,100,100
13,Blue Jays,100,100,100
23,Pirates,99,99,99
4,White Sox,99,99,99
25,Mets,98,98,98
5,Guardians,97,97,97
11,Rangers,97,97,97
26,Giants,97,97,97
8,Brewers,97,97,97
29,Padres,97,97,97
6,Cubs,97,97,97
11,Mariners,91,91,91
